TotalIncomingRequests,EOFErrors,ECONNREFUSEDErrors,TrueECONNRESETErrors,TotalOutgoingRequests,OutgoingNetworkErrors,ExperimentName,Hostname,SuccessfulOutgoingRequests,FailedOutgoingRequests,OutgoingUnknownErrors,OutgoingHTTPErrors,ForceClosedErrors,ECONNABORTEDErrors,LastUpdate,StartTime
506481,7,39,16,519461,62,experiment-5,go-server-deployment-8499b9d8cf-6gwsb,518400,62,0,0,0,0,2019-12-18 07:44:24.743778148 +0000 UTC m=+1916.720065550,2019-12-18 07:13:29.027461306 +0000 UTC m=+61.003748730
379691,0,11,1,368391,12,experiment-5,go-server-deployment-8499b9d8cf-rpc6v,367380,12,0,0,0,0,2019-12-18 07:44:37.999635741 +0000 UTC m=+1456.762119620,2019-12-18 07:21:22.251291952 +0000 UTC m=+61.013775766
503889,0,56,2,513480,58,experiment-5,go-server-deployment-8499b9d8cf-5v79g,512423,58,0,0,0,0,2019-12-18 07:44:11.705321807 +0000 UTC m=+1903.281081156,2019-12-18 07:13:29.430213193 +0000 UTC m=+61.005972556
513078,0,43,5,516835,48,experiment-5,go-server-deployment-8499b9d8cf-69dfn,515788,48,0,0,0,0,2019-12-18 07:44:18.175723587 +0000 UTC m=+1909.953947551,2019-12-18 07:13:29.231517046 +0000 UTC m=+61.009741020
379691,0,18,0,365579,18,experiment-5,go-server-deployment-8499b9d8cf-fnbpm,364829,18,0,0,0,0,2019-12-18 07:44:31.046423544 +0000 UTC m=+1449.532543295,2019-12-18 07:21:22.538360688 +0000 UTC m=+61.024480390
369284,0,9,27,359568,36,experiment-5,go-server-deployment-8499b9d8cf-55bzc,358533,36,0,0,0,0,2019-12-18 07:44:19.467521124 +0000 UTC m=+1437.767816699,2019-12-18 07:21:22.723452007 +0000 UTC m=+61.023747546
514169,0,29,3,526905,32,experiment-5,go-server-deployment-8499b9d8cf-2wklg,526374,32,0,0,0,0,2019-12-18 07:44:59.5893915 +0000 UTC m=+1951.817631883,2019-12-18 07:13:28.785934345 +0000 UTC m=+61.014174719
90137,0,0,0,83956,0,experiment-5,go-server-deployment-8499b9d8cf-prvmk,82957,0,0,0,0,0,2019-12-18 07:44:03.371361053 +0000 UTC m=+375.431208109,2019-12-18 07:38:48.980195827 +0000 UTC m=+61.040042818
158280,0,0,0,153792,0,experiment-5,go-server-deployment-8499b9d8cf-wz259,153212,0,0,0,0,0,2019-12-18 07:44:44.081089743 +0000 UTC m=+639.188772265,2019-12-18 07:35:05.923613807 +0000 UTC m=+61.031296325
512038,0,62,7,533621,69,experiment-5,go-server-deployment-8499b9d8cf-t77bd,532553,69,0,0,0,0,2019-12-18 07:44:33.103214229 +0000 UTC m=+1925.560339403,2019-12-18 07:13:28.548004639 +0000 UTC m=+61.005129733
