TotalIncomingRequests,EOFErrors,ECONNREFUSEDErrors,TrueECONNRESETErrors,TotalOutgoingRequests,OutgoingNetworkErrors,ExperimentName,Hostname,SuccessfulOutgoingRequests,FailedOutgoingRequests,OutgoingUnknownErrors,OutgoingHTTPErrors,ForceClosedErrors,ECONNABORTEDErrors,LastUpdate,StartTime
112223,0,1,20,106134,21,experiment-4,go-server-deployment-6c7b758b57-kpr98,105322,21,0,0,0,0,2019-10-23 00:45:19.943400401 +0000 UTC m=+410.908010492,2019-10-23 00:39:30.052178406 +0000 UTC m=+61.016788290
995026,0,461,116,1012180,577,experiment-4,go-server-deployment-6c7b758b57-m7pdj,1010604,577,0,0,0,0,2019-10-23 00:45:11.753993735 +0000 UTC m=+3668.696692944,2019-10-22 23:45:04.079648263 +0000 UTC m=+61.022347429
583049,0,64,10,571771,74,experiment-4,go-server-deployment-6c7b758b57-2pxmx,571065,74,0,0,0,0,2019-10-23 00:45:25.463125672 +0000 UTC m=+2097.518243062,2019-10-23 00:11:28.95610961 +0000 UTC m=+61.011227002
1111653,1,854,61,1161011,916,experiment-4,go-server-deployment-6c7b758b57-4znl8,1159096,916,0,0,0,0,2019-10-23 00:44:47.231963343 +0000 UTC m=+4056.890176220,2019-10-22 23:38:11.358172015 +0000 UTC m=+61.016384816
83213,0,0,0,70339,0,experiment-4,go-server-deployment-6c7b758b57-qlnxq,69839,0,0,0,0,0,2019-10-23 00:45:25.177613322 +0000 UTC m=+297.818323764,2019-10-23 00:41:28.397789984 +0000 UTC m=+61.038500344
